language,trait,value
ada83,wikipedia,structured
ada83,wikipedia,statically
ada83,wikipedia,typed
ada83,wikipedia,imperative
ada83,wikipedia,object-oriented
ada83,wikipedia,high-level
ada83,keyword,abort
ada83,keyword,abs
ada83,keyword,accept
ada83,keyword,access
ada83,keyword,all
ada83,keyword,and
ada83,keyword,array
ada83,keyword,at
ada83,keyword,begin
ada83,keyword,body
ada83,keyword,case
ada83,keyword,constant
ada83,keyword,declare
ada83,keyword,delay
ada83,keyword,delta
ada83,keyword,digits
ada83,keyword,do
ada83,keyword,else
ada83,keyword,elsif
ada83,keyword,end
ada83,keyword,entry
ada83,keyword,exception
ada83,keyword,exit
ada83,keyword,for
ada83,keyword,function
ada83,keyword,generic
ada83,keyword,goto
ada83,keyword,if
ada83,keyword,in
ada83,keyword,is
ada83,keyword,limited
ada83,keyword,loop
ada83,keyword,mod
ada83,keyword,new
ada83,keyword,not
ada83,keyword,null
ada83,keyword,of
ada83,keyword,or
ada83,keyword,others
ada83,keyword,out
ada83,keyword,package
ada83,keyword,pragma
ada83,keyword,private
ada83,keyword,procedure
ada83,keyword,raise
ada83,keyword,range
ada83,keyword,record
ada83,keyword,rem
ada83,keyword,renames
ada83,keyword,return
ada83,keyword,reverse
ada83,keyword,select
ada83,keyword,separate
ada83,keyword,subtype
ada83,keyword,task
ada83,keyword,terminate
ada83,keyword,then
ada83,keyword,type
ada83,keyword,use
ada83,keyword,when
ada83,keyword,while
ada83,keyword,with
ada83,keyword,xor
ada83,binary-operator,**
ada83,binary-precedence,6
ada83,binary-operator,*
ada83,binary-precedence,5
ada83,binary-operator,/
ada83,binary-precedence,5
ada83,binary-operator,mod
ada83,binary-precedence,5
ada83,binary-operator,rem
ada83,binary-precedence,5
ada83,binary-operator,+
ada83,binary-precedence,3
ada83,binary-operator,-
ada83,binary-precedence,3
ada83,binary-operator,&
ada83,binary-precedence,3
ada83,binary-operator,=
ada83,binary-precedence,2
ada83,binary-operator,/=
ada83,binary-precedence,2
ada83,binary-operator,<
ada83,binary-precedence,2
ada83,binary-operator,<=
ada83,binary-precedence,2
ada83,binary-operator,>
ada83,binary-precedence,2
ada83,binary-operator,>=
ada83,binary-precedence,2
ada83,binary-operator,and
ada83,binary-precedence,1
ada83,binary-operator,or
ada83,binary-precedence,1
ada83,binary-operator,xor
ada83,binary-precedence,1
ada83,unary-operator,abs
ada83,unary-precedence,6
ada83,unary-operator,not
ada83,unary-precedence,6
ada83,unary-operator,+
ada83,unary-precedence,4
ada83,unary-operator,-
ada83,unary-precedence,4
ada83,function-definition,arguments-type-checked
ada83,function-definition,pass-by-value
ada83,function-definition,pass-by-reference
ada83,function-definition,pass-by-out
algol68,wikipedia,imperative
algol68,keyword,mode
algol68,keyword,op
algol68,keyword,prio
algol68,keyword,proc
algol68,keyword,flex
algol68,keyword,heap
algol68,keyword,loc
algol68,keyword,long
algol68,keyword,ref
algol68,keyword,short
algol68,keyword,bits
algol68,keyword,bool
algol68,keyword,bytes
algol68,keyword,char
algol68,keyword,compl
algol68,keyword,int
algol68,keyword,real
algol68,keyword,sema
algol68,keyword,string
algol68,keyword,void
algol68,keyword,channel
algol68,keyword,file
algol68,keyword,format
algol68,keyword,struct
algol68,keyword,union
algol68,keyword,at
algol68,keyword,either
algol68,keyword,is
algol68,keyword,isnt
algol68,keyword,of
algol68,keyword,true
algol68,keyword,false
algol68,keyword,empty
algol68,keyword,nil
algol68,keyword,skip
algol68,keyword,co
algol68,comment,pr
algol68,comment,pragmat
algol68,comment,case
algol68,comment,in
algol68,comment,ouse
algol68,comment,in
algol68,comment,out
algol68,comment,esac
algol68,comment,for
algol68,comment,from
algol68,comment,to
algol68,comment,by
algol68,comment,while
algol68,comment,do
algol68,comment,od
algol68,comment,if
algol68,comment,then
algol68,comment,elif
algol68,comment,then
algol68,comment,else
algol68,comment,fi
algol68,comment,par
algol68,comment,begin
algol68,comment,end
algol68,comment,goto
algol68,comment,exit
algol68,binary-operator,+*
algol68,binary-precedence,9
algol68,binary-operator,i
algol68,binary-precedence,9
algol68,binary-operator,SHL
algol68,binary-precedence,8
algol68,binary-operator,SHR
algol68,binary-precedence,8
algol68,binary-operator,**
algol68,binary-precedence,8
algol68,binary-operator,up
algol68,binary-precedence,8
algol68,binary-operator,down
algol68,binary-precedence,8
algol68,binary-operator,lwb
algol68,binary-precedence,8
algol68,binary-operator,upb
algol68,binary-precedence,8
algol68,binary-operator,*
algol68,binary-precedence,7
algol68,binary-operator,/
algol68,binary-precedence,7
algol68,binary-operator,%
algol68,binary-precedence,7
algol68,binary-operator,over
algol68,binary-precedence,7
algol68,binary-operator,%*
algol68,binary-precedence,7
algol68,binary-operator,mod
algol68,binary-precedence,7
algol68,binary-operator,elem
algol68,binary-precedence,7
algol68,binary-operator,-
algol68,binary-precedence,6
algol68,binary-operator,+
algol68,binary-precedence,6
algol68,binary-operator,<
algol68,binary-precedence,5
algol68,binary-operator,lt
algol68,binary-precedence,5
algol68,binary-operator,<=
algol68,binary-precedence,5
algol68,binary-operator,le
algol68,binary-precedence,5
algol68,binary-operator,>=
algol68,binary-precedence,5
algol68,binary-operator,ge
algol68,binary-precedence,5
algol68,binary-operator,>
algol68,binary-precedence,5
algol68,binary-operator,gt
algol68,binary-precedence,5
algol68,binary-operator,eq
algol68,binary-precedence,4
algol68,binary-operator,=
algol68,binary-precedence,4
algol68,binary-operator,ne
algol68,binary-precedence,4
algol68,binary-operator,~=
algol68,binary-precedence,4
algol68,binary-operator,/=
algol68,binary-precedence,4
algol68,binary-operator,&
algol68,binary-precedence,3
algol68,binary-operator,and
algol68,binary-precedence,3
algol68,binary-operator,or
algol68,binary-precedence,2
algol68,binary-operator,minusab
algol68,binary-precedence,1
algol68,binary-operator,plusab
algol68,binary-precedence,1
algol68,binary-operator,timesab
algol68,binary-precedence,1
algol68,binary-operator,divab
algol68,binary-precedence,1
algol68,binary-operator,overab
algol68,binary-precedence,1
algol68,binary-operator,modab
algol68,binary-precedence,1
algol68,binary-operator,plusto
algol68,binary-precedence,1
algol68,binary-operator,-:=
algol68,binary-precedence,1
algol68,binary-operator,+:=
algol68,binary-precedence,1
algol68,binary-operator,*:=
algol68,binary-precedence,1
algol68,binary-operator,/:=
algol68,binary-precedence,1
algol68,binary-operator,%:=
algol68,binary-precedence,1
algol68,binary-operator,%*:=
algol68,binary-precedence,1
algol68,binary-operator,+=:
algol68,binary-precedence,1
algol68,unary-operator,not
algol68,unary-precedence,10
algol68,unary-operator,~
algol68,unary-precedence,10
algol68,unary-operator,up
algol68,unary-precedence,10
algol68,unary-operator,down
algol68,unary-precedence,10
algol68,unary-operator,lwb
algol68,unary-precedence,10
algol68,unary-operator,upb
algol68,unary-precedence,10
algol68,unary-operator,-
algol68,unary-precedence,10
algol68,unary-operator,abs
algol68,unary-precedence,10
algol68,unary-operator,arg
algol68,unary-precedence,10
algol68,unary-operator,bin
algol68,unary-precedence,10
algol68,unary-operator,entier
algol68,unary-precedence,10
algol68,unary-operator,leng
algol68,unary-precedence,10
algol68,unary-operator,level
algol68,unary-precedence,10
algol68,unary-operator,odd
algol68,unary-precedence,10
algol68,unary-operator,repr
algol68,unary-precedence,10
algol68,unary-operator,round
algol68,unary-precedence,10
algol68,unary-operator,shorten
algol68,unary-precedence,10
algol68,function-definition,arguments-type-checked
algol68,function-definition,pass-by-value
algol68,function-definition,pass-by-reference
c90,wikipedia,general-purpose
c90,wikipedia,weight
c90,keyword,auto
c90,keyword,break
c90,keyword,case
c90,keyword,char
c90,keyword,const
c90,keyword,continue
c90,keyword,default
c90,keyword,do
c90,keyword,double
c90,keyword,else
c90,keyword,enum
c90,keyword,extern
c90,keyword,float
c90,keyword,for
c90,keyword,goto
c90,keyword,if
c90,keyword,int
c90,keyword,long
c90,keyword,register
c90,keyword,return
c90,keyword,short
c90,keyword,signed
c90,keyword,sizeof
c90,keyword,static
c90,keyword,struct
c90,keyword,switch
c90,keyword,typedef
c90,keyword,union
c90,keyword,unsigned
c90,keyword,void
c90,keyword,volatile
c90,keyword,while
c90,comment,to-end-of-line
c90,comment,start
c90,comment,end
c90,white-space,significant
c90,white-space,free-form
c90,white-space,line-continuation
c90,white-space,backslash
c90,identifier,case-significant
c90,identifier,characters-significant
c90,literal,integer-decimal
c90,literal,integer-hexadecimal
c90,literal,integer-octal
c90,literal,integer-character
c90,literal,floating-point
c90,literal,string
c90,control-flow,{
c90,control-flow,}
c90,control-flow,switch
c90,control-flow,goto
c90,control-flow,break
c90,control-flow,continue
c90,control-flow,if
c90,control-flow,else
c90,control-flow,for
c90,control-flow,while
c90,control-flow,do
c90,expression,infix
c90,expression,left-associative
c90,ternary-operator,?:
c90,ternary-precedence,2
c90,binary-operator,[]
c90,binary-precedence,16
c90,binary-operator,.
c90,binary-precedence,16
c90,binary-operator,->
c90,binary-precedence,16
c90,binary-operator,*
c90,binary-precedence,13
c90,binary-operator,/
c90,binary-precedence,13
c90,binary-operator,%
c90,binary-precedence,13
c90,binary-operator,+
c90,binary-precedence,12
c90,binary-operator,-
c90,binary-precedence,12
c90,binary-operator,<<
c90,binary-precedence,11
c90,binary-operator,>>
c90,binary-precedence,11
c90,binary-operator,<
c90,binary-precedence,9
c90,binary-operator,<=
c90,binary-precedence,9
c90,binary-operator,>
c90,binary-precedence,9
c90,binary-operator,>=
c90,binary-precedence,9
c90,binary-operator,==
c90,binary-precedence,8
c90,binary-operator,!=
c90,binary-precedence,8
c90,binary-operator,&
c90,binary-precedence,7
c90,binary-operator,^
c90,binary-precedence,6
c90,binary-operator,|
c90,binary-precedence,5
c90,binary-operator,&&
c90,binary-precedence,4
c90,binary-operator,||
c90,binary-precedence,3
c90,binary-operator,+=
c90,binary-precedence,2
c90,binary-operator,-=
c90,binary-precedence,2
c90,binary-operator,*=
c90,binary-precedence,2
c90,binary-operator,/=
c90,binary-precedence,2
c90,binary-operator,%=
c90,binary-precedence,2
c90,binary-operator,<<=
c90,binary-precedence,2
c90,binary-operator,>>=
c90,binary-precedence,2
c90,binary-operator,&=
c90,binary-precedence,2
c90,binary-operator,^=
c90,binary-precedence,2
c90,binary-operator,|=
c90,binary-precedence,2
c90,binary-operator,","
c90,binary-precedence,1
c90,unary-operator,++
c90,unary-precedence,15
c90,unary-operator,--
c90,unary-precedence,15
c90,unary-operator,+
c90,unary-precedence,15
c90,unary-operator,-
c90,unary-precedence,15
c90,unary-operator,!
c90,unary-precedence,15
c90,unary-operator,~
c90,unary-precedence,15
c90,unary-operator,*
c90,unary-precedence,15
c90,unary-operator,&
c90,unary-precedence,15
c90,unary-operator,sizeof
c90,unary-precedence,15
c90,unary-operator,_Alignof
c90,unary-precedence,15
c90,declaration,struct
c90,declaration,union
c90,declaration,int
c90,declaration,float
c90,declaration,enum
c90,declaration,*
c90,statement,semicolon
c90,statement,file-import
c90,statement,#include
c90,function-definition,arguments-not-checked
c90,function-definition,arguments-type-checked
c90,function-definition,variadic-arguments
c90,function-definition,pass-by-value
cobol68,wikipedia,compiled
cobol68,wikipedia,English-like
cobol68,keyword,ACCEPT
cobol68,keyword,ACCESS
cobol68,keyword,ACTUAL
cobol68,keyword,ADD
cobol68,keyword,ADDRESS
cobol68,keyword,ADVANCING
cobol68,keyword,AFTER
cobol68,keyword,ALL
cobol68,keyword,ALPHABETIC
cobol68,keyword,ALTER
cobol68,keyword,ALTERNATE
cobol68,keyword,AND
cobol68,keyword,ARE
cobol68,keyword,AREA
cobol68,keyword,AREAS
cobol68,keyword,ASCENDING
cobol68,keyword,ASSIGN
cobol68,keyword,AT
cobol68,keyword,AUTHOR
cobol68,keyword,BEFORE
cobol68,keyword,BEGINNING
cobol68,keyword,BLANK
cobol68,keyword,BLOCK
cobol68,keyword,BY
cobol68,keyword,CF
cobol68,keyword,CH
cobol68,keyword,CHARACTERS
cobol68,keyword,CLOCK-UNITS
cobol68,keyword,CLOSE
cobol68,keyword,COBOL
cobol68,keyword,CODE
cobol68,keyword,COLUMN
cobol68,keyword,COMMA
cobol68,keyword,COMP
cobol68,keyword,COMPUTATIONAL
cobol68,keyword,COMPUTE
cobol68,keyword,CONFIGURATION
